"discente","sexo","nota_final","cotista","cep","descricao"
"0a7bba20c355362c7dd200825647452c","F",598.5400,f,"59000-000","GRADUAÇÃO"
"2ab8a9758f2b60092c7938871415b5d0","M",546.4600,t,"59000-000","GRADUAÇÃO"
"e2c0d1aabf1ec87a49dd864edab0093a","M",531.8100,t,"59000-000","GRADUAÇÃO"
"3422a4ae081e78e75c8cd2fcbd750899","F",5.7300,f,"59000-000","GRADUAÇÃO"
"91c50d18b1f024625655fee5e580e810","F",619.8900,t,"59000-000","GRADUAÇÃO"
"","F",638.9100,t,"59000-000","GRADUAÇÃO"
"","F",638.9100,t,"59000-000","GRADUAÇÃO"
"5e528763f6b83ec2b812fc2422d34aff","F",602.3300,t,"59000-000","GRADUAÇÃO"
"53d6638fdc606aee3ed58d77e5a16a7e","M",557.3100,t,"59000-000","GRADUAÇÃO"
"53d6638fdc606aee3ed58d77e5a16a7e","M",557.3100,t,"59000-000","GRADUAÇÃO"
"f59a25e84bbe9eb648299d4a3a3be627","F",584.5600,t,"59000-000","GRADUAÇÃO"
"583e4fbbb734000e4d1983275f6a3b13","F",612.5500,t,"59000-000","GRADUAÇÃO"
"","M",3.5900,f,"59000-000","GRADUAÇÃO"
"","M",526.7400,t,"59000-000","GRADUAÇÃO"
"","M",524.6800,f,"59000-000","GRADUAÇÃO"
"4126a8781471109dd1563592f9f31fe5","M",682.7800,t,"59000-000","GRADUAÇÃO"
"d9082fedd4d30c8e520a77de08603b43","M",527.1200,f,"59000-000","GRADUAÇÃO"
"328e5170eae914a4365bd4544a2c5966","M",654.3200,f,"59000-000","GRADUAÇÃO"
"","F",632.5900,t,"59000-000","GRADUAÇÃO"
"99f3e745cb643f8ed402db1f89e0de4f","F",669.9600,f,"59000-000","GRADUAÇÃO"
"","F",669.9600,t,"59000-000","GRADUAÇÃO"
"c930a5a888f5206fcc4178282195b120","M",6.7700,t,"59000-000","GRADUAÇÃO"
"9c6fe548c3433d6a4139a11ca7803d59","M",571.5600,t,"59000-000","GRADUAÇÃO"
"bda073c0730d55a527e9babf1ce6feca","F",4.3300,f,"59000-000","GRADUAÇÃO"
"e5775cf90aabbacf9530aaa543f81bc3","M",627.2500,f,"59000-000","GRADUAÇÃO"
"d446ab3e9ca91463a1d62497d9f87fa0","M",584.8600,t,"59000-000","GRADUAÇÃO"
"5267a7cb905463c75c4fd0b85ebb5ce4","M",612.3900,f,"59000-000","GRADUAÇÃO"
"b9be9aa75cd8a398e4e251c9a6a9ce39","M",616.1400,t,"59000-000","GRADUAÇÃO"
"b9be9aa75cd8a398e4e251c9a6a9ce39","M",616.1400,t,"59000-000","GRADUAÇÃO"
"e2e667fb14d4b1fce1df92aeda54161f","M",616.1400,t,"59000-000","GRADUAÇÃO"
"443e78c07194bc76c668e1b43c473335","M",764.4000,t,"59000-000","GRADUAÇÃO"
"ff037dbacef61aab58fe5cc2174aa098","M",657.1100,t,"59000-000","GRADUAÇÃO"
"8ec195525321b64f0afcf39b87a95f53","M",705.7800,t,"59000-000","GRADUAÇÃO"
"1d94704cbe6f30627b42f5d3053b0b06","F",662.6200,t,"59000-000","GRADUAÇÃO"
"9d4095bd1b8add6e3495dfcd19f2a81b","F",618.8800,t,"59000-000","GRADUAÇÃO"
"5b73fc4921affc2d5cab0fa2ce3894f6","F",597.5200,t,"59000-000","GRADUAÇÃO"
"37e04a5cc4278f1f7d0c8be0615c4e99","F",647.2100,t,"59000-000","GRADUAÇÃO"
"e97b4fa02feca6580d3bde25a870d465","F",679.8600,t,"59000-000","GRADUAÇÃO"
"e1a3eba25b12afefe4e3f29f22dafe3c","M",647.9300,f,"59000-000","GRADUAÇÃO"
"fd8b4d3a03d5c9a6ca2e7ae4581a99d4","M",750.8300,f,"59000-000","GRADUAÇÃO"
"d1281f787894ea0ef2441196fdb2816f","F",618.8000,t,"59000-000","GRADUAÇÃO"
"d291009d2f4ed49b7c2932adb529200e","M",611.6100,f,"59000-000","GRADUAÇÃO"
"8b2886784bc9f85c526cc3fa03aa322b","F",605.9200,f,"59000-000","GRADUAÇÃO"
"","F",577.2100,f,"59000-000","GRADUAÇÃO"
"67d47bd4f419c081b7e1e2f476d721b7","F",603.0000,t,"59000-000","GRADUAÇÃO"
"3ffc5982500d89dd703a4e7dfa722cf2","M",671.3800,f,"59000-000","GRADUAÇÃO"
"3ffc5982500d89dd703a4e7dfa722cf2","M",671.3800,f,"59000-000","GRADUAÇÃO"
"c96859879da5b47447bb9f281e05d2ba","M",450.8300,f,"59000-000","GRADUAÇÃO"
"f3d1d03e5ae3e5f6824b4b6c67dd5ea4","M",886.9100,t,"59000-000","GRADUAÇÃO"
"b455af43fbf19054bcc86065f52a656c","F",5.6700,t,"59000-000","GRADUAÇÃO"
"c8424888069c04bc8addceaca82ff9ad","M",644.1800,t,"59000-000","GRADUAÇÃO"
"0a10e9901dafb6a8155d837ac73b5327","M",564.5900,t,"59000-000","GRADUAÇÃO"
"73083f4894bb7e8bc94056b42ba232d2","M",688.9200,t,"59000-000","GRADUAÇÃO"
"927cdda34d24e00f4491b05aa33b87ab","F",662.3600,t,"59000-000","GRADUAÇÃO"
"62ef440505c0eb9159e6b5aeac0c643c","F",617.7900,t,"59000-000","GRADUAÇÃO"
"6cdca320ae704c165f588fff5a795564","F",678.2900,t,"59000-000","GRADUAÇÃO"
"6cdca320ae704c165f588fff5a795564","F",678.2900,t,"59000-000","GRADUAÇÃO"
"58bee200c80db590a4a237ab80cf9eab","F",644.2100,f,"59000-000","GRADUAÇÃO"
"7955dbec98b8753b937110a726e95e07","M",614.2000,t,"59000-000","GRADUAÇÃO"
"4e0a7371050cc48f0ba38a3160f110f0","F",693.6800,f,"59000-000","GRADUAÇÃO"
"b9e4f5225b8534d11cdb9b2866d2d946","F",616.8900,f,"59000-000","GRADUAÇÃO"
"a00ebe64a9fac6c1e2670c416f478878","M",587.5300,t,"59000-000","GRADUAÇÃO"
"dda9523abc1b1635850ed73ffe987c8c","F",633.9800,f,"59000-000","GRADUAÇÃO"
"6ba7ac9ddf64359feb6a7a45e6e96a1e","M",599.3300,t,"59000-000","GRADUAÇÃO"
"1c077437d4494fc58353706ab378b7b7","M",637.0600,t,"59000-000","GRADUAÇÃO"
"3220ac2c8af54bc18c36154eab21aba3","F",522.4900,f,"59000-000","GRADUAÇÃO"
"fada266e234c3e2cb569101f8bbcc74f","F",6.6700,f,"59000-000","GRADUAÇÃO"
"a53f5871bc4e35b3bae84dda6bcd35cb","M",4.2700,f,"59000-000","GRADUAÇÃO"
