,id_discente,sexo,data_nascimento,raca,estado_origem,cidade_origem,estado,municipio,bairro,nivel_ensino,forma_ingresso,ano_ingresso,periodo_ingresso,cotista,id_curso
0,a2b5339caf4ea54ef4c904f25feb89ef,M,17_09_1995,BRANCO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,PARNAMIRIM,NOVA_PARNAMIRIM,GRADUACAO,VESTIBULAR,2013,1.0,F,92127264.0
17,cdf99402c72f8d20aa224ef307623751,M,15_04_1972,BRANCO,RIO_GRANDE_DO_NORTE,PARELHAS,RIO_GRANDE_DO_NORTE,NATAL,POTENGI,GRADUACAO,VESTIBULAR,2013,1.0,F,92127264.0
34,40846f2f09da1435f6eb303ce9d0d768,M,03_12_1985,NEGRO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,IGAPO,GRADUACAO,VESTIBULAR,2013,1.0,F,92127264.0
45,a095d175d76d18be610340995f276816,M,10_08_1990,PARDO,PERNAMBUCO,ARCOVERDE,RIO_GRANDE_DO_NORTE,NATAL,NEOPOLIS,GRADUACAO,VESTIBULAR,2013,1.0,F,92127264.0
62,0188fee9f69676d5d450513676ffa20f,M,18_02_1994,BRANCO,RIO_GRANDE_DO_NORTE,OURO_BRANCO,RIO_GRANDE_DO_NORTE,OURO_BRANCO,CENTRO,GRADUACAO,VESTIBULAR,2013,1.0,F,92127264.0
79,71ded068ae396ef3bb21c15219c4906b,M,26_09_1994,NEGRO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,PARNAMIRIM,SANTOS_REIS,GRADUACAO,VESTIBULAR,2013,1.0,T,92127264.0
96,7be1f85421dde6f505923c856e10700e,M,25_03_1994,PARDO,PARAIBA,CAMPINA_GRANDE,RIO_GRANDE_DO_NORTE,TIBAU_DO_SUL,CABECEIRAS,GRADUACAO,VESTIBULAR,2013,1.0,F,92127264.0
113,85d07655e068a086b94be8cd5d24ea7d,M,10_08_1985,NEGRO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,PARNAMIRIM,NOVA_PARNAMIRIM,GRADUACAO,VESTIBULAR,2013,1.0,F,92127264.0
126,3406bfbeea8ff597f63c2088e42ff6bf,M,10_03_1986,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,CANDELARIA,GRADUACAO,VESTIBULAR,2013,1.0,F,92127264.0
145,a178df022ade5b7d77395d7733abebc5,M,22_06_1994,NEGRO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,LAGOA_NOVA,GRADUACAO,VESTIBULAR,2013,1.0,F,92127264.0
162,570cb04eb23871dd7b2eae6244b79378,M,17_03_1986,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,CIDADE_DA_ESPERANCA,GRADUACAO,VESTIBULAR,2013,1.0,F,92127264.0
179,89b2be90f6731bda089577d32630bd71,M,18_07_1985,BRANCO,PERNAMBUCO,NAO_INFORMADO,RIO_GRANDE_DO_NORTE,PARNAMIRIM,NOVA_PARNAMIRIM,GRADUACAO,VESTIBULAR,2013,1.0,F,92127264.0
196,39183be9cc43d1e18143cb9c4a702393,M,15_07_1981,NEGRO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,FELIPE_CAMARAO,GRADUACAO,VESTIBULAR,2013,1.0,T,92127264.0
213,00bd67a601192f51da746e41e60815c7,M,23_03_1993,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,EXTREMOZ,SANTA_RITA,GRADUACAO,VESTIBULAR,2013,1.0,T,92127264.0
232,dc0b37a9d90ff2d54cb650d366bb9d1e,F,07_09_1991,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,NOSSA_SENHORA_DA_APRESENTACAO,GRADUACAO,VESTIBULAR,2013,1.0,F,92127264.0
249,1e8fc10705707b5faa801fd6e426b0a8,M,17_07_1993,PARDO,RIO_GRANDE_DO_NORTE,NATAL,RIO_GRANDE_DO_NORTE,NATAL,NOVA_PARNAMIRIM,GRADUACAO,VESTIBULAR,2013,1.0,F,92127264.0
266,e023a67a7bf65d86e71bb690e4cb2ba1,F,28_09_1988,PARDO,MARANHAO,SAO_LUIS,RIO_GRANDE_DO_NORTE,NATAL,POTENGI,GRADUACAO,VESTIBULAR,2013,1.0,T,92127264.0
