,id_discente,sexo,data_nascimento,raca,estado_origem,cidade_origem,estado,municipio,bairro,nivel_ensino,forma_ingresso,ano_ingresso,periodo_ingresso,cotista,id_turma,id_curso,unidade,nota,reposicao,faltas_unidade,media_final,numero_total_faltas,descricao
2455,ef94dafd66c0422f1927ed3544eb136f,M,28-02-1972,Não Informado,Pernambuco,NÃO INFORMADO,Rio Grande do Norte,NATAL,NOVA PARNAMIRIM,GRADUAÇÃO,REOCUPAÇÃO DE VAGAS RESIDUAIS,2014,1.0,f,1217922,92127264.0,,,,,,,EXCLUIDA
2471,263337877cb5bbfb246858ae2ca2108e,M,11-05-1990,Não Informado,Maranhão,NÃO INFORMADO,Rio Grande do Norte,NATAL,NOVA PARNAMIRIM,GRADUAÇÃO,REOCUPAÇÃO DE VAGAS RESIDUAIS,2014,1.0,f,1217922,92127264.0,,,,,,,EXCLUIDA
2494,1d2f167f656cf52c63c1369ca68340db,M,20-12-1969,Não Informado,Rio Grande do Norte,NATAL,Rio Grande do Norte,PARNAMIRIM,NOVA PARNAMIRIM,GRADUAÇÃO,REOCUPAÇÃO DE VAGAS RESIDUAIS,2014,1.0,f,1217922,92127264.0,,,,,,,DESISTENCIA
2508,8686cb9f0defc9fec6c7bf5fed40bda4,M,27-08-1992,Pardo,Rio Grande do Norte,NÃO INFORMADO,Rio Grande do Norte,NATAL,BOA ESPERANÇA,GRADUAÇÃO,REOCUPAÇÃO DE VAGAS RESIDUAIS,2014,1.0,f,1217922,92127264.0,,,,,,,DESISTENCIA
2531,be9fca1ee37e8706d2b2dd3f81883b31,M,28-08-1973,Não Informado,Ignorado/exterior,NATAL,Rio Grande do Norte,NATAL,PAJUÇARA,GRADUAÇÃO,REOCUPAÇÃO DE VAGAS RESIDUAIS,2014,1.0,f,1217922,92127264.0,1.0,7.8,f,0.0,4.2,20.0,REPROVADO POR MÉDIA E POR FALTAS
2556,4ca2aab5bc166799ef07328772683e6d,M,19-04-1993,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,PITIMBU,GRADUAÇÃO,REOCUPAÇÃO DE VAGAS RESIDUAIS,2014,1.0,f,1217922,92127264.0,,,,,,,DESISTENCIA
2581,0febb0bf044a20abd3d8e8c574955c8d,M,23-07-1988,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,LAGOA NOVA,GRADUAÇÃO,REOCUPAÇÃO DE VAGAS RESIDUAIS,2014,1.0,f,1217927,92127264.0,,,,,,,INDEFERIDO
2603,3206dfb6204195b6b52f4f9ea924616b,F,13-01-1982,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,NEÓPOLIS,GRADUAÇÃO,REOCUPAÇÃO DE VAGAS RESIDUAIS,2014,1.0,f,1217927,92127264.0,,,,,,,EXCLUIDA
2624,ca045d46c152b54c2cfe110d01d3e8ce,M,08-06-1966,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,LAGOA NOVA,GRADUAÇÃO,REOCUPAÇÃO DE VAGAS RESIDUAIS,2014,1.0,f,1217927,92127264.0,,,,,,,DESISTENCIA
2655,7a69539ac36db2d7ac503e47975f3034,F,06-03-1992,Branco,Rio Grande do Norte,NATAL,Rio Grande do Norte,PARNAMIRIM,PARQUE DAS NAÇÕES,GRADUAÇÃO,REOCUPAÇÃO DE VAGAS RESIDUAIS,2014,1.0,f,1217927,92127264.0,,,,,,,DESISTENCIA
2673,ed6dd81dc57277659b753343bbeddbd1,M,07-06-1993,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,PARNAMIRIM,NOVA PARNAMIRIM,GRADUAÇÃO,REOCUPAÇÃO DE VAGAS RESIDUAIS,2014,1.0,f,1217927,92127264.0,,,,,,,EXCLUIDA
2687,8d5e37d8ae7b822fbab26042a3bf2866,M,03-01-1979,Não Informado,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,PONTA NEGRA,GRADUAÇÃO,REOCUPAÇÃO DE VAGAS RESIDUAIS,2014,1.0,f,1217927,92127264.0,,,,,,,DESISTENCIA
2702,fa1619c9583ee340b04ee8175182fc0f,M,07-04-1992,Branco,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,NEÓPOLIS,GRADUAÇÃO,REOCUPAÇÃO DE VAGAS RESIDUAIS,2014,1.0,f,1217927,92127264.0,,,,,,,EXCLUIDA
2725,6aaedca450abe93b17eca6a0293b6c2d,M,06-03-1988,Branco,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,QUINTAS,GRADUAÇÃO,REOCUPAÇÃO DE VAGAS RESIDUAIS,2014,1.0,f,1217927,92127264.0,,,,,,,EXCLUIDA
2739,04b1241196c8b2d85fb33f7423c0af2f,M,03-03-1993,Branco,Rio Grande do Norte,NATAL,Rio Grande do Norte,PARNAMIRIM,EMAÚS,GRADUAÇÃO,REOCUPAÇÃO DE VAGAS RESIDUAIS,2014,1.0,f,1217927,92127264.0,1.0,8.0,f,0.0,4.0,14.0,CANCELADO
2757,d01ee6d4e4283d76b5891bbfd5a3dfee,M,12-04-1992,Branco,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,ALECRIM,GRADUAÇÃO,REOCUPAÇÃO DE VAGAS RESIDUAIS,2014,1.0,f,1217927,92127264.0,1.0,5.5,f,0.0,5.4,4.0,APROVADO POR NOTA
2775,5aaaf6ef666e2409089ea2876a51ba8d,F,17-05-1989,Não Informado,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,NOSSA SENHORA DA APRESENTAÇÃO,GRADUAÇÃO,SiSU,2014,1.0,f,1217923,92127264.0,1.0,,f,0.0,,,CANCELADO
2789,716727243c6c2b73757eb120ad6da323,M,04-03-0096,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,CAPIM MACIO,GRADUAÇÃO,SiSU,2014,1.0,f,1217927,92127264.0,,,,,,,CANCELADO
2801,7109d5cde50726947fc79d41bc794dc4,F,07-09-1981,Pardo,Rio Grande do Norte,NÃO INFORMADO,Rio Grande do Norte,NATAL,NEÓPOLIS,GRADUAÇÃO,SiSU,2014,1.0,f,1217927,92127264.0,,,,,,,EXCLUIDA
2817,2927ab3c0c4b3cfa65addca3214270b3,M,13-01-1984,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,NOVA DESCOBERTA,GRADUAÇÃO,SiSU,2014,1.0,f,1217927,92127264.0,1.0,6.5,f,0.0,7.0,5.0,APROVADO
2835,29ba90e68135ae505ec4682de4faa4e5,F,12-07-1995,Branco,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,EMAÚS,GRADUAÇÃO,SiSU,2014,1.0,f,1217927,92127264.0,,,,,,,EXCLUIDA
2852,e58061a63d58fd3dccf5d3ec10d71731,M,03-03-1984,Branco,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,CAPIM MACIO,GRADUAÇÃO,SiSU,2014,1.0,f,1217927,92127264.0,,,,,,,EXCLUIDA
2866,d649993d64611e85c59e8031af11f4b5,M,28-06-1991,Pardo,Rio Grande do Norte,NÃO INFORMADO,Rio Grande do Norte,NATAL,PIRANGI DO NORTE,GRADUAÇÃO,SiSU,2014,1.0,f,1217923,92127264.0,1.0,,f,0.0,,,CANCELADO
2880,8f13778f5befaef470ce3baf10a99d98,M,24-06-1989,Branco,Rio Grande do Norte,NATAL,São Paulo,SÃO PAULO,NOVA PARNAMIRIM,GRADUAÇÃO,SiSU,2014,1.0,f,1217927,92127264.0,,,,,,,EXCLUIDA
2896,354331360e1d9b4640229f8a64ab8675,M,08-04-1981,Negro,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,POTENGI,GRADUAÇÃO,SiSU,2014,1.0,f,1217927,92127264.0,,,,,,,CANCELADO
2908,bcd15dd5fc86b676ddf53d2e332224bb,M,22-04-1996,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,LAGOA NOVA,GRADUAÇÃO,SiSU,2014,1.0,f,1217927,92127264.0,1.0,7.7,f,0.0,7.2,4.0,APROVADO
2926,956a3fa7d7abffd3d40d84c767ccfa00,M,30-09-1993,Branco,Pernambuco,RECIFE,Rio Grande do Norte,SÃO GONÇALO DO AMARANTE,GOLANDIM,GRADUAÇÃO,SiSU,2014,1.0,t,1217923,92127264.0,1.0,5.9,f,0.0,6.0,0.0,APROVADO POR NOTA
2944,e04e38a7be6d5e735778baf8a876cf9b,M,13-09-1989,Branco,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,NOSSA SENHORA DE NAZARÉ,GRADUAÇÃO,SiSU,2014,1.0,t,1217927,92127264.0,,,,,,,EXCLUIDA
2966,4303adc9ed9fa65fb5eba1d05503693a,M,17-03-1987,Negro,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,ROCAS,GRADUAÇÃO,SiSU,2014,1.0,t,1217927,92127264.0,1.0,0.0,f,0.0,0.0,36.0,REPROVADO POR MÉDIA E POR FALTAS
2980,e8cb519052c82fde500592417512604b,M,07-04-1993,Pardo,Ignorado/exterior,NATAL,Rio Grande do Norte,MONTE DAS GAMELEIRAS,CENTRO,GRADUAÇÃO,SiSU,2014,1.0,t,1217927,92127264.0,1.0,0.0,f,0.0,0.0,34.0,REPROVADO POR MÉDIA E POR FALTAS
2996,3ceffcaa0fe3e688c9a2ac80b8326b3d,M,08-02-1990,Pardo,São Paulo,GUARUJÁ,Rio Grande do Norte,PARNAMIRIM,NOVA PARNAMIRIM,GRADUAÇÃO,SiSU,2014,1.0,f,1217927,92127264.0,,,,,,,EXCLUIDA
3011,84316982042206237df24b0f14931b9a,M,23-02-1995,Branco,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,PONTA NEGRA,GRADUAÇÃO,SiSU,2014,1.0,f,1217927,92127264.0,,,,,,,CANCELADO
3023,7f526a2061ee189867da31102097f91e,F,11-03-1995,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,LAGOA SECA,GRADUAÇÃO,SiSU,2014,1.0,t,1217927,92127264.0,2.0,6.4,f,0.0,6.9,0.0,APROVADO POR NOTA
3041,7a1b1853a420d06922811b998fb6264f,M,02-06-1995,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,REDINHA,GRADUAÇÃO,SiSU,2014,1.0,f,1217927,92127264.0,,,,,,,EXCLUIDA
3057,8336cceaf3e6275f4bd0611280702f1e,M,10-03-1995,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,POTENGI,GRADUAÇÃO,SiSU,2014,1.0,t,1217927,92127264.0,1.0,8.4,f,0.0,8.6,2.0,APROVADO
3075,eac5e43cd695181422e61240e391c55e,M,27-10-1995,Branco,Goiás,MINAÇU,Rio Grande do Norte,PARNAMIRIM,NOVA PARNAMIRIM,GRADUAÇÃO,SiSU,2014,1.0,f,1217927,92127264.0,,,,,,,CANCELADO
3088,b49b8b207a2d4bf9b21a01b73a0cdb29,M,09-09-1984,Negro,Rio Grande do Norte,NÃO INFORMADO,Rio Grande do Norte,PARNAMIRIM,CENTRO,GRADUAÇÃO,SiSU,2014,1.0,t,1217927,92127264.0,1.0,5.8,f,0.0,6.8,2.0,APROVADO POR NOTA
3106,76a56ad613bcbefabd97dea0dc2d3aa9,M,22-02-1990,Branco,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,NOVA DESCOBERTA,GRADUAÇÃO,SiSU,2014,1.0,f,1217927,92127264.0,1.0,6.4,f,0.0,6.7,2.0,APROVADO POR NOTA
3127,772b2b5af5c0fa13218af7a791c58c44,M,08-10-1987,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,ROCAS,GRADUAÇÃO,SiSU,2014,1.0,t,1217927,92127264.0,,,,,,,TRANCADO
3143,d531c7e77bd325149ba25393287b693d,M,11-09-1985,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,NEÓPOLIS,GRADUAÇÃO,SiSU,2014,1.0,f,1217927,92127264.0,,,,,,,DESISTENCIA
3155,f7e227c9fa061ea03c3250ca3d32b7fa,M,14-11-1990,Branco,Rio Grande do Sul,SANTA MARIA,Rio Grande do Norte,NATAL,PONTA NEGRA,GRADUAÇÃO,SiSU,2014,1.0,f,1217927,92127264.0,,,,,,,EXCLUIDA
3169,ba9383174869ca39b0626c17eac4630f,M,07-08-1995,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,SÃO PAULO DO POTENGI,Assunção,GRADUAÇÃO,SiSU,2014,1.0,f,1217927,92127264.0,,,,,,,EXCLUIDA
3194,38d08da2154ffa249889118d73ffdad3,M,17-12-1970,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,PITIMBU,GRADUAÇÃO,SiSU,2014,1.0,t,1217927,92127264.0,1.0,7.0,f,0.0,7.3,2.0,APROVADO
3212,d5b919228d0207c864cfe4af843adf59,M,06-08-1990,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,NOSSA SENHORA DA APRESENTAÇÃO,GRADUAÇÃO,SiSU,2014,1.0,t,1217927,92127264.0,1.0,5.9,f,0.0,5.6,6.0,APROVADO POR NOTA
3228,4b58b4318cda780dbdf8beae00ef24a6,M,31-05-1980,Pardo,Pernambuco,NATAL,Rio Grande do Norte,PARNAMIRIM,EMAÚS,GRADUAÇÃO,SiSU,2014,1.0,f,1217927,92127264.0,,,,,,,EXCLUIDA
3248,3bb00a5655ef8884b4af55d4a2a65af6,M,11-06-1980,Pardo,Rio Grande do Norte,NATAL,Rio Grande do Norte,NATAL,NEÓPOLIS,GRADUAÇÃO,SiSU,2014,1.0,f,1217927,92127264.0,,,,,,,EXCLUIDA
3265,89d72e4b531330a9d62e58215f391fab,F,30-01-1988,Não Informado,São Paulo,NÃO INFORMADO,Pernambuco,RECIFE,JARDIM BOM SUCESSO,GRADUAÇÃO,SiSU,2014,1.0,f,1217923,92127264.0,,,,,,,CANCELADO
